YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT SILKING","PROGRESS, 5 YEAR AVG in PCT SILKING","PROGRESS, PREVIOUS YEAR in PCT SILKING","PROGRESS in PCT DOUGH","PROGRESS, 5 YEAR AVG in PCT DOUGH","PROGRESS, PREVIOUS YEAR in PCT DOUGH","PROGRESS in PCT DENTED","PROGRESS, 5 YEAR AVG in PCT DENTED","PROGRESS, PREVIOUS YEAR in PCT DENTED","PROGRESS in PCT MATURE","PROGRESS, 5 YEAR AVG in PCT MATURE","PROGRESS, PREVIOUS YEAR in PCT MATURE","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
1995,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1995-07-30," "," "," "," "," "," ",58,69," "," "," "," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1995-08-06," "," "," "," "," "," ",81,84," ",14,29," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1995-08-13," "," "," "," "," "," ",94,94," ",27,44," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1995-08-20," "," "," "," "," "," "," "," "," ",49,60," ",13,25," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1995-08-27," "," "," "," "," "," "," "," "," ",73,74," ",31,38," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1995-09-03," "," "," "," "," "," "," "," "," ",90,85," ",56,54," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1995-09-10," "," "," "," "," "," "," "," "," ",97,92," ",78,70," ",20,26," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1995-09-17," "," "," "," "," "," "," "," "," "," "," "," ",93,83," ",40,42," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1995-09-24," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",67,59," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1995-10-01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",89,75," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1995-10-08," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,87," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #14",CORN,1996-04-07,2,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1996-04-14,4,4," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1996-04-21,9,8," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1996-04-28,22,16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1996-05-05,41,31," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1996-05-12,53,51," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1996-05-19,61,72," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1996-05-26,78,85," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1996-06-02,86,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1996-06-09,92,96," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #24",CORN,1996-06-16,95,98," "," "," "," ",2," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #25",CORN,1996-06-23," "," "," "," "," "," ",3,3," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1996-06-30," "," "," "," "," "," ",4,5," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1996-07-07," "," "," "," "," "," ",6,12," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1996-07-14," "," "," "," "," "," ",11,24," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1996-07-21," "," "," "," "," "," ",23,42," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1996-07-28," "," "," "," "," "," ",48,63," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1996-08-04," "," "," "," "," "," ",72,80," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1996-08-11," "," "," "," "," "," ",88,91," "," "," "," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1996-08-18," "," "," "," "," "," ",95,97," ",37,55," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1996-08-25," "," "," "," "," "," "," "," "," ",54,70," ",18,34," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1996-09-01," "," "," "," "," "," "," "," "," ",74,82," ",33,51," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1996-09-08," "," "," "," "," "," "," "," "," ",88,90," ",52,67," ",11,23," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1996-09-15," "," "," "," "," "," "," "," "," ",96,95," ",73,81," ",20,37," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1996-09-22," "," "," "," "," "," "," "," "," "," "," "," ",87,90," ",37,56," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1996-09-29," "," "," "," "," "," "," "," "," "," "," "," ",94,95," ",56,72," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1996-10-06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",80,84," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1996-10-13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",90,91," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #42",CORN,1996-10-20," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",95,95," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #14",CORN,1997-04-06,3,2," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1997-04-13,4,4," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1997-04-20,7,7," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1997-04-27,18,15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1997-05-04,50,30," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1997-05-11,71,50," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1997-05-18,88,67," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1997-05-25,95,81," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1997-06-01,98,89," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #25",CORN,1997-06-22," "," "," "," "," "," ",2,3," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1997-06-29," "," "," "," "," "," ",3,4," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1997-07-06," "," "," "," "," "," ",5,7," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1997-07-13," "," "," "," "," "," ",7,15," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1997-07-20," "," "," "," "," "," ",21,32," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1997-07-27," "," "," "," "," "," ",60,55," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1997-08-03," "," "," "," "," "," ",85,75," "," "," "," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1997-08-10," "," "," "," "," "," ",96,88," ",28,29," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1997-08-17," "," "," "," "," "," "," "," "," ",47,44," "," "," "," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1997-08-24," "," "," "," "," "," "," "," "," ",68,61," ",21,25," "," "," "," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1997-08-31," "," "," "," "," "," "," "," "," ",84,76," ",42,40," ",7,8," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1997-09-07," "," "," "," "," "," "," "," "," ",91,88," ",60,58," ",10,15," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1997-09-14," "," "," "," "," "," "," "," "," ",96,94," ",78,74," ",20,27," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1997-09-21," "," "," "," "," "," "," "," "," "," "," "," ",90,87," ",38,44," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1997-09-28," "," "," "," "," "," "," "," "," "," "," "," ",96,94," ",59,63," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1997-10-05," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",82,79," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1997-10-12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",91,89," "," "," "," "
1997,"US TOTAL","  ","  ","   ","WEEK #42",CORN,1997-10-19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,94," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #14",CORN,1998-04-05,2,2," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1998-04-12,3,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1998-04-19,5,6," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1998-04-26,15,15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1998-05-03,39,30," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1998-05-10,60,46," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1998-05-17,78,63," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1998-05-24,93,79," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1998-05-31,97,88," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #25",CORN,1998-06-21," "," "," "," "," "," ",3,2," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1998-06-28," "," "," "," "," "," ",4,3," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1998-07-05," "," "," "," "," "," ",8,6," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1998-07-12," "," "," "," "," "," ",24,12," "," "," "," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1998-07-19," "," "," "," "," "," ",55,27," ",6,4," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1998-07-26," "," "," "," "," "," ",80,51," ",12,8," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1998-08-02," "," "," "," "," "," ",91,73," ",23,15," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1998-08-09," "," "," "," "," "," ",96,87," ",40,27," "," "," "," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1998-08-16," "," "," "," "," "," "," "," "," ",64,43," ",20,12," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1998-08-23," "," "," "," "," "," "," "," "," ",82,61," ",39,22," "," "," "," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1998-08-30," "," "," "," "," "," "," "," "," ",92,77," ",65,40," ",14,8," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1998-09-06," "," "," "," "," "," "," "," "," ",97,88," ",82,58," ",25,14," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1998-09-13," "," "," "," "," "," "," "," "," "," "," "," ",93,76," ",51,25," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1998-09-20," "," "," "," "," "," "," "," "," "," "," "," ",97,88," ",74,43," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1998-09-27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",89,62," "," "," "," "
1998,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1998-10-04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",95,80," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #13",CORN,1999-04-04,3,2," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #14",CORN,1999-04-11,4,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1999-04-18,6,6," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1999-04-25,10,15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1999-05-02,21,34," ",5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1999-05-09,55,52," ",11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1999-05-16,77,68," ",30," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1999-05-23,87,82," ",60," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1999-05-30,96,90," ",80," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1999-06-06," "," "," ",92," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1999-06-13," "," "," ",97," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #24",CORN,1999-06-20," "," "," "," "," "," ",3,2," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #25",CORN,1999-06-27," "," "," "," "," "," ",4,4," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1999-07-04," "," "," "," "," "," ",7,6," "," "," "," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1999-07-11," "," "," "," "," "," ",16,14," ",0,0," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1999-07-18," "," "," "," "," "," ",40,32," ",6,5," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1999-07-25," "," "," "," "," "," ",75,57," ",11,9," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1999-08-01," "," "," "," "," "," ",91,78," ",24,16," "," "," "," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1999-08-08," "," "," "," "," "," ",97,90," ",41,28," ",10,7," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1999-08-15," "," "," "," "," "," "," "," "," ",65,46," ",22,14," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1999-08-22," "," "," "," "," "," "," "," "," ",81,65," ",42,25," "," "," "," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1999-08-29," "," "," "," "," "," "," "," "," ",92,81," ",62,44," ",12,9," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1999-09-05," "," "," "," "," "," "," "," "," ",97,91," ",80,63," ",25,16," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1999-09-12," "," "," "," "," "," "," "," "," "," "," "," ",92,80," ",43,29," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1999-09-19," "," "," "," "," "," "," "," "," "," "," "," ",97,91," ",66,49," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1999-09-26," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",85,69," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1999-10-03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",94,84," "," "," "," "
1999,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1999-10-10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",97,93," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #13",CORN,2000-04-02,2,1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #14",CORN,2000-04-09,4,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #15",CORN,2000-04-16,9,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #16",CORN,2000-04-23,19,10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #17",CORN,2000-04-30,49,23," ",9," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #18",CORN,2000-05-07,78,44," ",30," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #19",CORN,2000-05-14,91,62," ",67," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #20",CORN,2000-05-21,96,77," ",84," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #21",CORN,2000-05-28," "," "," ",93," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #22",CORN,2000-06-04," "," "," ",97," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #24",CORN,2000-06-18," "," "," "," "," "," ",2,1," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #25",CORN,2000-06-25," "," "," "," "," "," ",4,3," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #26",CORN,2000-07-02," "," "," "," "," "," ",9,4," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #27",CORN,2000-07-09," "," "," "," "," "," ",25,11," "," "," "," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #28",CORN,2000-07-16," "," "," "," "," "," ",49,23," ",6,4," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #29",CORN,2000-07-23," "," "," "," "," "," ",75,47," ",13,7," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #30",CORN,2000-07-30," "," "," "," "," "," ",90,72," ",26,13," "," "," "," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #31",CORN,2000-08-06," "," "," "," "," "," ",96,87," ",42,24," ",12,6," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #32",CORN,2000-08-13," "," "," "," "," "," "," "," "," ",63,41," ",25,11," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #33",CORN,2000-08-20," "," "," "," "," "," "," "," "," ",77,60," ",40,22," "," "," "," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #34",CORN,2000-08-27," "," "," "," "," "," "," "," "," ",88,77," ",57,39," ",13,7," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #35",CORN,2000-09-03," "," "," "," "," "," "," "," "," ",94,90," ",76,59," ",27,14," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #36",CORN,2000-09-10," "," "," "," "," "," "," "," "," "," "," "," ",87,76," ",46,25," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #37",CORN,2000-09-17," "," "," "," "," "," "," "," "," "," "," "," ",95,89," ",67,43," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #38",CORN,2000-09-24," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",84,64," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #39",CORN,2000-10-01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",92,81," "," "," "," "
2000,"US TOTAL","  ","  ","   ","WEEK #40",CORN,2000-10-08," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,92," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #13",CORN,2001-04-01,1,1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #14",CORN,2001-04-08,2,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #15",CORN,2001-04-15,5,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #16",CORN,2001-04-22,10,11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #17",CORN,2001-04-29,28,28," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #18",CORN,2001-05-06,58,52," ",20," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #19",CORN,2001-05-13,72,71," ",44," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #20",CORN,2001-05-20,90,83," ",65," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #21",CORN,2001-05-27,95,92," ",80," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #22",CORN,2001-06-03," "," "," ",90," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #23",CORN,2001-06-10," "," "," ",96," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #25",CORN,2001-06-24," "," "," "," "," "," ",4,3," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #26",CORN,2001-07-01," "," "," "," "," "," ",8,5," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #27",CORN,2001-07-08," "," "," "," "," "," ",16,13," "," "," "," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #28",CORN,2001-07-15," "," "," "," "," "," ",31,28," ",5,4," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #29",CORN,2001-07-22," "," "," "," "," "," ",55,51," ",11,8," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #30",CORN,2001-07-29," "," "," "," "," "," ",79,75," ",21,16," "," "," "," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #31",CORN,2001-08-05," "," "," "," "," "," ",91,89," ",35,28," ",9,7," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #32",CORN,2001-08-12," "," "," "," "," "," ",97,96," ",54,45," ",20,14," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #33",CORN,2001-08-19," "," "," "," "," "," "," "," "," ",71,63," ",35,25," "," "," "," "," "," "," "
2001,"US TOTAL","  ","  ","   ","WEEK #34",CORN,2001-08-26," "," "," "," "," "," "," "," "," ",82,79," ",51,42," ",12,8," "," "," "," "
